ID #,Category,Type,Gender,Location (Gym/Home/Hybrid),Equipment,Movement,Description,Video Name,Vidio URL
1,Cardio,Plyometrics ,Both,Hybrid,Bench/box,Jumps,Jump with two feet onto box 2 times. then put yourself in a pushup position and bring your knee to your chest while the other leg stabilizes,2 box jumps plus 10 box mountain climbers,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Cardio?preview=2+box+jumps+plus+10+box+mountain+climbers+.mp4
2,Cardio,Aerobic,Both,Hybrid,Stationary bike,cycle,Pedal at a comfortable medium speed ,assault bike normal speed,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Cardio?preview=assault+bike+normal+speed+.mp4
3,Cardio,Anaerobic,Both,Hybrid,Stationary bike,cycle,Pedal as hard as you can for 30-40 seconds ,assault bike sprint,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Cardio?preview=assault+bike+sprint+.mp4
4,Cardio,Plyometrics,Both,Hybrid,Bench,Jumps,"With both hands on bench stabilizing yourself, jump with two feet over the bench back and forth 2 times. Then move to side of bench and bring one foot up to chest while other foot is stabilizing your body",bench hop x2 plus mountain climbers,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Cardio?preview=bench+hop+x2+plus+mountain+climbers+x10+.mp4
5,Cardio,Plyometrics,Both,Hybrid,None,Lunge,"Step back with one foot, drop to a lunge position no further than 90 degrees, and raise up almost to fully extended and drop back down in a pulsing motion",static lunge pulse,https://www.dropbox.com/preview/BP8%20finished%203rd%20shoot/Cardio/static%20lunge%20pulse%20.mp4?context=content_suggestions&role=personal
6,Cardio,Plyometrics,Both,Hybrid,Bench,Jumps,"With both hands on bench stabilizing yourself, jump with two feet over the bench back and forth 4 times. Then safely drop to the floor on your stomach and push yourself back onto your feet",bench hop x4 plus burpee,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Cardio?preview=bench+hop+x4+plus+burpee.mp4
7,Cardio,Plyometrics,Both,Hybrid,Bosu Ball,Shoulder/pushup,"Start with bosu ball over head, bring down to floor and alternate legs in a running motion, then squat back up and raise the bosu ball over head, repeat.",bosu ball burpee plus 10 mountain climbers,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Cardio?preview=bosu+ball+burpee+plus+10+mountain+climbers+.mp4
8,Cardio,Plyometrics,Both,Hybrid,Bench/box,Steps/lunge,"Stair with one foot on bench/box and step so both feet are on the box, lower yourself with the same leg that you started with, repeat with other leg, then Then place both hands on the bench/box and bring one foot up to chest while other foot is stabilizing your body",box alt step ups x2 plus box mountain climbers x10,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Cardio?preview=box+alt+step+ups+x2+plus+box+mountain+climbers+x10+.mp4
9,Cardio,Plyometrics,Both,Hybrid,Bench/box,Steps/lunge/jump,Stair with one foot on bench/box and step up into a one leg jump and come back down repeat with other leg,box alt. explosive step ups,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Cardio?preview=box+alt.+explosive+step+ups+.mp4
10,Cardio,Plyometrics,Both,Hybrid,Bench/box,Steps/lunge/jump,Stair with one foot on bench/box and step up into a one leg jump and come back down repeat with same leg for all reps,box explosive step ups,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Cardio?preview=box+explosive+step+ups+.mp4
11,Cardio,Plyometrics,Both,Hybrid,Bench/box,Jumps,"Two foot jump onto bench/box, drop back down to floor and fall to stomach on the ground and raise yourself back up to your feet, repeat.",box hop burpees,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Cardio?preview=box+hop+burpees+.mp4
12,Cardio,Plyometrics,Both,Hybrid,Bench/box,Jumps,"Two foot jump onto bench/box, drop back down to floor, followed by 5 air squats, repeat",box jump plus squat x5,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Cardio?preview=box+jump+plus+squat+x5+.mp4
13,Cardio,Plyomtrics,Both,Hybrid,Bench/box,Jumps,"Two foot jump onto bench/box, step back down to floor",box jumps,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Cardio?preview=box+jumps+.mp4
14,Cardio,Plyometrics,Both,Hybrid,Bench/box,Run,Place both hands on the bench/box and bring one foot up to chest while other foot is stabilizing your body,box mountain climbers,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Cardio?preview=box+mountain+climbers+.mp4
15,Cardio,Plyometrics,Both,Hybrid,Bench/box,Step/Lunge,"Step onto bench/box with one foot and pull yourself up with knee coming to chest, step back down to the floor with same foot, and lunge back with foot that was on box steping back, repeat with same legs.",box step up + reverse lunge,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Cardio?preview=box+step+up+%2B+reverse+lunge+.mp4
16,Cardio,Anaerobic,Both,Hybrid,Bench/box,Step/Lunge,"Step onto bench/box with one foot and pull yourself up with knee coming to chest, step back down to the floor with same foot, alternate legs and repeat",box step ups,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Cardio?preview=box+step+ups+.mp4
17,Cardio,Warmup,Both,Hybrid,None,Run,Kick heels up to butt,butt kicks,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Cardio?preview=butt+kicks+.mp4
18,Cardio,Plyometrics/Anaerobic,Both,Gym,Cables,Jumps,"With tension on cables, pull down the cables by bending and squating down and jump, repeat.",explosive ski erg,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Cardio?preview=explosive+ski+erg+.mp4
19,Cardio,Plyometrics,Both,Hybrid,None,Skating/Jumps,"Jump from one foot to the other back and forth like a skating motion,",ice skaters,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Cardio?preview=ice+skaters+.mp4
20,Cardio,Plyometrics,Both,Hybrid,None,Jumps,"Squat as low as possible and jump as high as possible, repeat",jump squats,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Cardio?preview=jump+squats+.mp4
21,Cardio,Warmup,Both,Hybrid,None,Jumps,With slight bend in your knees jump side to side,laterall hops,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Cardio?preview=laterall+hops+.mp4
22,Cardio,Aerobic/Anaerobic,Both,Gym,Rowing Machine,Pulling,"Start with bent kness pushing back while pulling on cable, repeat",rower,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Cardio?preview=rower+.mp4
23,Cardio,Aerobic/Anaerobic,Both,Gym,Stationary bike,cycle,Pedal,seated stationary bike,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Cardio?preview=seated+stationary+bike+.mp4
24,Cardio,Warmup,Both,Hybrid,Band,Jump/kick,Slight jump as you flutter kick your legs in the air,short band foot shuffle,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Cardio?preview=short+band+foot+shuffle+.mp4
25,Cardio,Warmup,Both,Hybrid,Band,Jump/kick,"Slight jump, bring your arms over your head from the side while kicking legs out to side",short band jumping jacks,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Cardio?preview=short+band+jumping+jacks+.mp4
26,Cardio,Anaerobic,Both,Gym,Cables,Squat/pull,"Pull on cable that has tension while bending down into a squat and rise back up to starting position, repeat",ski erg,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Cardio?preview=ski+erg+.mp4
27,Cardio,Anaerobic,Both,Gym,Sled,Walk/pull,Walk bacwards while pulling a sled,sled pull,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Cardio?preview=sled+pull.mp4
28,Cardio,Aerobic/Anaerobic,Both,Gym,Sled,Walk/push,Walk forwards pushing a sled,sled push,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Cardio?preview=sled+push+.mp4
29,Cardio,Aerobic/Anaerobic,Both,Gym,Stationary bike,cycle,Cycle while standing,standing stationary bike,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Cardio?preview=standing+stationary+bike+.mp4
30,Upper body,Resistance,Both,Hybrid,Barbell,Curling,"Curle barbell starting with straight arms, lower weight back down half way and curl back up, return to starting position and repeat",barbel 1.5 bicep curl,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Upper%20body?preview=barbel+1.5+bicep+curl+.mp4
31,Upper body,Resistance,Both,Hybrid,Barbell,Pulling,"Bend knees slightly, bend at waist, pull weight up from ground to stomach, lower halfway down and bring back up, lower back down to starting position and repeat",barbel 1.5 row,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Upper%20body?preview=barbel+1.5+row+.mp4
32,Upper body,Resistance,Both,Hybrid,Barbell,Bending,"Hold weight at waist height, with slight bend in your knees bend at the waste keeping your back flat, pull yourself up to starting position, repeat.",Barbel Beginners Romanian Dead Lift,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Upper%20body?preview=Barbel+BRDL+.mp4
33,Upper body,Resistance,Both,Hybrid,Barbell,Curling,"Curl weight up to chest and slowly lower the weight back to starting position very slowly for 3-4 seconds, repeat",barbel eccentric bicep curl,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Upper%20body?preview=barbel+eccentric+bicep+curl+.mp4
34,Upper body,Resistance,Both,Hybrid,Barbell,Bending,"With weigh on shoulders push hips backwards and bend at the waiste lowering the weight and rise back up, repeat",barbel good mornings,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Upper%20body?preview=barbel+good+mornings+.mp4
35,Upper body,Resistance,Both,Hybrid,Barbell,Pulling,"start with barbell at waste held with arms should width apart and pull weight up to chin, keeping your back straight, lower back to starting position and repeat",barbel high pull,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Upper%20body?preview=barbel+high+pull+.mp4
36,Upper body,Resistance,Both,Hybrid,Barbell,Bending/pulling,"start with barbell at waste held with arms should width apart and bend at waiste pushing your hips backwards, keeping your back straight, pause at bottom and rise back to starting position and repeat",barbel pause romanian dead lift,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Upper%20body?preview=barbel+pause+rdl+.mp4
37,Upper body,Resistance,Both,Hybrid,Barbell,Bending/pulling,"Bend at waiste, pushing hips backwards, start with arms extend and pull barbell to stomach, pause for 3 seconds and return to starting position, repeat",barbel pause row,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Upper%20body?preview=barbel+pause+row+.mp4
38,Upper body,Resistance,Both,Hybrid,Barbell,Squat/pull,"Holding barbell with hands hip distance apart, squat down until barbell is to ankles, squat back up and pull weight to chin, lower back starting position, repeat",barbel power high pull,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Upper%20body?preview=barbel+power+high+pull+.mp4
39,Upper body,Resistance,Both,Hybrid,Barbell,Push,"With barbell held at should height, slightly bend your knees to create some upward motion and push weight above head until arms are fully extended, return to starting position and repeat",barbel push press,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Upper%20body?preview=barbel+push+press+.mp4
40,Upper body,Resistance,Both,Hybrid,Barbell,Bend/Pull,"Hold weight at waist height, with slight bend in your knees bend at the waste keeping your back flat, pull barbell to your stomach staying in the bottom position, lower weight back down and pull yourself up to starting position, repeat.",barbel romanian dead lift + row,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Upper%20body?preview=barbel+rdl+%2B+row+.mp4
41,Upper body,Resistance,Both,Hybrid,Barbell,Bend/Pull,"Bend at waiste, pushing hips backwards, start with arms extend and pull barbell to stomach, and return to starting position, repeat",barbel row,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Upper%20body?preview=barbel+row+.mp4
42,Upper body,Resistance,Both,Hybrid,Barbell,Bend/Pull,"Hold weight at waist height, with slight bend in your knees and with one foot positioned a foot lengths behind other, bend at the waste keeping your back flat, pull yourself up to starting position, repeat.",barbel staggered stance romanian dead lift,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Upper%20body?preview=barbel+staggered++stance+rdl+.mp4
43,Upper body,Resistance,Both,Hybrid,Barbell,Bend/Pull,"Bend at waiste, pushing hips backwards, start with arms extend and hands facing outwards, and pull barbell to stomach, and return to starting position, repeat",barbel under hand grip row,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Upper%20body?preview=barbel+under+hand+grip+row+.mp4
