ID,UUID,Category,Type,Name,Gender,MovementType,Description,VideoType,VideoS3Key,VideoName,VideoURL,ThumbnailType,ThumbnailS3Key,ThumbnailName,ThumbnailURL,State
704,0a574ef3-2c38-4a55-99ba-4f7c355c4ea6,Ground-Based Exercises,System,90/90 Wall Balloon-Breathing,Female,Warmups & Mobility Fillers,"1. Hook your heels into the wall with your hamstrings. 2. Tuck your tailbone between your knees. 3. Push your lower back into the floor. 4. Exhale fully, dropping your ribs down as far as they'll go. 5. Inhale without losing the ribs-down position and repeat.",Vimeo,,90/90 Wall Balloon-Breathing,https://vimeo.com/111032082,External URL,tenant/1/private/upload/file/111032082.jpg,111032082.jpg,https://brandonprust.nyc3.digitaloceanspaces.com/exercise/thumbnail/111032082.jpg,Active
400,8a4bf571-b5d4-4e2a-b238-4c737e6ba0db,Anti-Extension,System,Ab Wheel Iso,Female,Core Work,1. Lock your ribs down with your abs. 2. Tuck your tailbone between your knees. 3. Do not let your lower back sag.,Vimeo,,Ab Wheel Iso,https://vimeo.com/111032083,External URL,tenant/1/private/upload/file/111032083.jpg,111032083.jpg,https://brandonprust.nyc3.digitaloceanspaces.com/exercise/thumbnail/111032083.jpg,Active
398,9d579fbc-c270-48a6-8e11-b7d007502697,Anti-Extension,System,Ab Wheel Rollout,Female,Core Work,1. Lock your ribs down with your abs. 2. Tuck your tailbone between your knees. 3. Do not let your lower back sag.,Vimeo,,Ab Wheel Rollout,https://vimeo.com/111032084,External URL,tenant/1/private/upload/file/111032084.jpg,111032084.jpg,https://brandonprust.nyc3.digitaloceanspaces.com/exercise/thumbnail/111032084.jpg,Active
689,0aebae39-f55e-4041-a70c-b531abcd9f8e,Ground-Based Exercises,System,Adductor Mobilization,Female,Warmups & Mobility Fillers,1. Extend one leg out. 2. Push your hips back to lengthen your adductor. 3. Keep your spine neutral.,Vimeo,,Adductor Mobilization,https://vimeo.com/111032085,External URL,tenant/1/private/upload/file/111032085.jpg,111032085.jpg,https://brandonprust.nyc3.digitaloceanspaces.com/exercise/thumbnail/111032085.jpg,Active
555,fd406ae4-c6c1-477e-b2d4-2f239257f335,Barbell,System,Alternating Barbell Split Jump,Female,Jumps,"1. Lower so that at the bottom your knees are both around 90 degrees. 2. Don't let your hips open up at the bottom. Keep them squared forward. 3. Drive through your forward heel as you jump, and keep your knee tracked over your toes.",Vimeo,,Alternating Barbell Split Jump,https://vimeo.com/111032087,External URL,tenant/1/private/upload/file/111032087.jpg,111032087.jpg,https://brandonprust.nyc3.digitaloceanspaces.com/exercise/thumbnail/111032087.jpg,Active
554,c920fa9a-2962-477d-8194-1156062bd6ec,Bodyweight,System,Alternating Bodyweight Split Jump,Female,Jumps,"1. Lower so that at the bottom your knees are both around 90 degrees. 2. Don't let your hips open up at the bottom. Keep them squared forward. 3. Drive through your forward heel as you jump, and keep your knee tracked over your toes.",Vimeo,,Alternating Bodyweight Split Jump,https://vimeo.com/111032509,External URL,tenant/1/private/upload/file/111032509.jpg,111032509.jpg,https://brandonprust.nyc3.digitaloceanspaces.com/exercise/thumbnail/111032509.jpg,Active
498,f67f7941-94d6-4bf3-8e5e-91f8cd8a09f6,Dumbbell,System,Alternating Dumbbell Bench Press,Female,Horizontal Pressing,"1. Keep your abs locked tightly to prevent spinal rotation. 2. Keep your shoulder blades packed tightly inward and down at the bottom of each rep. 3. Only lower as far as you can without popping your shoulder capsule forward or losing stability, then press back up.",Vimeo,,Alternating Dumbbell Bench Press,https://vimeo.com/111032510,External URL,tenant/1/private/upload/file/111032510.jpg,111032510.jpg,https://brandonprust.nyc3.digitaloceanspaces.com/exercise/thumbnail/111032510.jpg,Active
377,4726b489-2cfb-47ef-8db9-2749503e959a,Biceps,System,Alternating Dumbbell Curl,Female,Arms,1. Curl the weight without letting your shoulders pop forward. 2. Don't arch your lower back.,Vimeo,,Alternating Dumbbell Curl,https://vimeo.com/111032518,External URL,tenant/1/private/upload/file/111032518.jpg,111032518.jpg,https://brandonprust.nyc3.digitaloceanspaces.com/exercise/thumbnail/111032518.jpg,Active
556,a695c181-6f8e-45d3-a048-3b6a26dfa3f6,Dumbell,System,Alternating Dumbell Split Jump,Female,Jumps,"1. Lower so that at the bottom your knees are both around 90 degrees. 2. Don't let your hips open up at the bottom. Keep them squared forward. 3. Drive through your forward heel as you jump, and keep your knee tracked over your toes.",Vimeo,,Alternating Dumbell Split Jump,https://vimeo.com/111032520,External URL,tenant/1/private/upload/file/111032520.jpg,111032520.jpg,https://brandonprust.nyc3.digitaloceanspaces.com/exercise/thumbnail/111032520.jpg,Active
564,138e20a6-da83-4d07-8d88-cb1022ffa6d4,Lunge,System,Alternating Goblet Reverse Lunge With Blocked Knee,Female,Single-Leg,1. Lower so that at the bottom your knees are both around 90 degrees. 2. Don't let your hips open up at the bottom. Keep them squared forward. 3. Keep your lower back neutral by pulling your ribs down with your abs and keeping your abs tight. Don't let your back arch. 4. Drive upward with your weight rooted through the heel of your forward foot. 5. Keep your knee tracked straight ahead over your toes.,Vimeo,,Alternating Goblet Reverse Lunge With Blocked Knee,https://vimeo.com/111032521,External URL,tenant/1/private/upload/file/111032521.jpg,111032521.jpg,https://brandonprust.nyc3.digitaloceanspaces.com/exercise/thumbnail/111032521.jpg,Active
